Time Rate1 Rate2 Rate3 Rate4 Rate5 Rate6
53344.6 2 0 2 0 0 0
53344.7 0 1 4 0 0 0
53344.8 2 1 2 3 0 0
53344.9 0 0 1 2 0 0
53345.0 4 2 2 2 0 0
53345.1 1 2 1 1 0 0
53345.2 2 2 2 1 0 0
53345.3 2 2 0 0 0 0
53345.4 0 0 2 0 0 0
53345.5 2 2 0 1 0 0
53345.6 2 3 5 3 0 0
53345.7 2 0 0 4 0 0
53345.8 1 1 1 0 0 0
53345.9 2 0 2 0 0 0
53346.0 1 1 1 1 0 0
53346.1 0 1 1 0 0 0
53346.2 0 0 2 0 0 0
53346.3 0 0 0 0 0 0
53346.4 1 0 1 1 0 0
53346.5 1 2 1 1 0 0
53346.6 1 1 1 0 0 0
53346.7 3 1 0 2 0 0
53346.8 0 1 2 2 0 0
53346.9 0 0 1 0 0 0
53347.0 3 0 1 0 0 0
53347.1 2 1 0 2 0 0
53347.2 0 0 0 1 0 0
53347.3 2 2 1 0 0 0
53347.4 1 1 1 0 0 0
53347.5 2 0 1 0 0 0
53347.6 0 3 0 2 0 0
53347.7 2 1 3 3 0 0
53347.8 1 1 1 0 0 0
53347.9 3 1 3 0 0 0
53348.0 0 1 0 0 0 0
53348.1 0 0 0 3 0 0
53348.2 1 1 1 2 0 0
53348.3 1 1 0 3 0 0
53348.4 3 1 3 1 0 0
53348.5 1 0 2 0 0 0
53348.6 2 1 4 1 0 0
53348.7 0 0 1 0 0 0
53348.8 0 1 0 0 0 0
53348.9 1 0 1 1 0 0
53349.0 0 1 1 2 0 0
53349.1 1 0 1 1 0 0
53349.2 2 0 2 2 0 0
53349.3 0 0 2 0 0 0
53349.4 0 4 1 0 0 0
53349.5 0 1 0 2 0 0
53349.6 3 3 2 2 0 0
53349.7 0 2 1 0 0 0
53349.8 0 1 0 1 0 0
53349.9 0 0 3 0 0 0
53350.0 0 0 0 1 0 0
53350.1 0 1 0 1 0 0
53350.2 1 2 0 1 0 0
53350.3 0 1 1 2 0 0
53350.4 0 2 3 0 0 0
53350.5 0 0 2 2 0 0
53350.6 3 1 1 1 0 0
53350.7 4 0 2 2 0 0
53350.8 0 0 1 0 0 0
53350.9 0 2 0 0 0 0
53351.0 2 1 1 0 0 0
53351.1 2 2 1 2 0 0
53351.2 1 0 0 3 0 0
53351.3 1 2 1 1 0 0
53351.4 0 0 0 1 0 0
53351.5 0 1 0 2 0 0
53351.6 3 0 1 1 0 0
53351.7 1 0 1 1 0 0
53351.8 0 2 4 0 0 0
53351.9 0 3 1 1 0 0
53352.0 1 1 1 1 0 0
53352.1 2 0 1 0 0 0
53352.2 0 0 0 3 0 0
53352.3 6 1 0 0 0 0
53352.4 1 0 2 1 0 0
53352.5 2 1 1 0 0 0
53352.6 1 0 1 0 0 0
53352.7 0 1 1 0 0 0
53352.8 1 1 0 3 0 0
53352.9 1 1 3 1 0 0
53353.0 1 1 1 2 0 0
53353.1 2 1 0 1 0 0
53353.2 1 3 0 0 0 0
53353.3 1 0 0 1 0 0
53353.4 1 1 1 1 0 0
53353.5 2 1 2 2 0 0
53353.6 4 1 1 0 0 0
53353.7 0 1 2 1 0 0
53353.8 1 1 0 0 0 0
53353.9 0 2 3 1 0 0
53354.0 0 1 1 1 0 0
53354.1 0 1 0 0 0 0
53354.2 2 0 2 2 0 0
53354.3 1 0 1 0 0 0
53354.4 3 2 1 1 0 0
53354.5 2 1 1 2 0 0
53354.6 4 2 2 0 0 0
53354.7 1 0 0 1 0 0
53354.8 0 0 1 1 0 0
53354.9 3 0 2 0 0 0
53355.0 0 0 0 1 0 0
53355.1 1 3 1 0 0 0
53355.2 2 1 2 0 0 0
53355.3 2 0 0 0 0 0
53355.4 3 1 1 0 0 0
53355.5 0 4 1 0 0 0
53355.6 1 2 1 4 0 0
53355.7 1 1 1 3 0 0
53355.8 2 4 3 1 0 0
53355.9 1 1 2 2 0 0
53356.0 2 1 1 0 0 0
53356.1 2 0 1 1 0 0
53356.2 0 1 0 1 0 0
53356.3 0 1 1 2 0 0
53356.4 3 1 1 0 0 0
53356.5 1 2 4 0 0 0
53356.6 0 2 2 0 0 0
53356.7 2 0 1 1 0 0
53356.8 3 0 1 0 0 0
53356.9 3 0 0 0 0 0
53357.0 2 0 0 0 0 0
53357.1 1 0 0 2 0 0
53357.2 1 1 0 2 0 0
53357.3 3 0 1 0 0 0
53357.4 1 0 1 0 0 0
53357.5 1 2 1 2 0 0
53357.6 0 2 2 1 0 0
53357.7 0 2 0 0 0 0
53357.8 0 2 0 0 0 0
53357.9 1 3 1 1 0 0
53358.0 2 1 2 1 0 0
53358.1 2 1 1 0 0 0
53358.2 1 0 0 2 0 0
53358.3 0 0 2 3 0 0
53358.4 2 0 0 0 0 0
53358.5 0 1 0 2 0 0
53358.6 1 2 0 2 0 0
53358.7 1 1 2 2 0 0
53358.8 1 2 0 2 0 0
53358.9 0 0 1 0 0 0
53359.0 0 1 0 1 0 0
53359.1 2 1 3 4 0 0
53359.2 1 1 1 0 0 0
53359.3 1 1 2 2 0 0
53359.4 1 2 1 2 0 0
53359.5 0 0 0 0 0 0
53359.6 0 1 0 1 0 0
53359.7 0 1 1 1 0 0
53359.8 1 2 1 1 0 0
53359.9 2 2 1 2 0 0
53360.0 0 0 2 2 0 0
53360.1 3 2 0 1 0 0
53360.2 1 0 0 2 0 0
53360.3 1 1 0 1 0 0
53360.4 1 2 1 2 0 0
53360.5 2 0 0 2 0 0
53360.6 1 0 0 1 0 0
53360.7 2 0 1 4 0 0
53360.8 0 2 1 0 0 0
53360.9 0 3 2 1 0 0
53361.0 0 2 0 1 0 0
53361.1 1 0 1 2 0 0
53361.2 1 2 1 1 0 0
53361.3 2 2 1 0 0 0
53361.4 1 2 0 1 0 0
53361.5 0 0 0 1 0 0
53361.6 1 0 0 0 0 0
53361.7 1 1 0 2 0 0
53361.8 0 0 0 0 0 0
53361.9 0 1 1 2 0 0
53362.0 1 0 1 1 0 0
53362.1 1 1 1 1 0 0
53362.2 0 0 2 1 0 0
53362.3 0 1 0 1 0 0
53362.4 1 1 1 1 0 0
53362.5 1 2 1 1 0 0
53362.6 1 0 0 0 0 0
53362.7 1 2 2 2 0 0
53362.8 2 2 0 2 0 0
53362.9 0 0 2 1 0 0
53363.0 0 2 1 2 0 0
53363.1 0 0 3 0 0 0
53363.2 2 0 0 0 0 0
53363.3 1 0 0 0 0 0
53363.4 0 0 0 1 0 0
53363.5 0 0 0 0 0 0
53363.6 3 1 1 1 0 0
53363.7 0 0 1 0 0 0
53363.8 1 1 0 1 0 0
53363.9 2 1 2 0 0 0
53364.0 1 0 1 1 0 0
53364.1 1 2 2 0 0 0
53364.2 1 1 1 0 0 0
53364.3 1 3 1 4 0 0
53364.4 2 2 0 3 0 0
53364.5 1 0 1 1 0 0
53364.6 0 1 0 0 0 0
53364.7 1 0 0 1 0 0
53364.8 1 1 3 2 0 0
53364.9 1 2 0 0 0 0
53365.0 1 2 2 1 0 0
53365.1 1 1 2 1 0 0
53365.2 2 1 0 0 0 0
53365.3 1 0 2 1 0 0
53365.4 2 0 0 1 0 0
53365.5 0 0 1 1 0 0
53365.6 0 3 0 1 0 0
53365.7 1 1 2 1 0 0
53365.8 0 2 1 0 0 0
53365.9 0 0 2 2 0 0
53366.0 2 0 3 2 0 0
53366.1 2 0 0 2 0 0
53366.2 2 1 1 1 0 0
53366.3 0 0 1 0 0 0
53366.4 1 0 0 3 0 0
53366.5 2 0 2 2 0 0
53366.6 1 1 2 0 0 0
53366.7 4 2 1 1 0 0
53366.8 1 0 0 3 0 0
53366.9 0 0 1 1 0 0
53367.0 1 0 1 2 0 0
53367.1 0 2 1 1 0 0
53367.2 2 3 0 1 0 0
53367.3 0 1 2 0 0 0
53367.4 0 1 1 1 0 0
53367.5 1 0 1 2 0 0
53367.6 0 0 1 0 0 0
53367.7 2 0 0 0 0 0
53367.8 2 1 1 1 0 0
53367.9 0 0 0 2 0 0
53368.0 2 1 2 0 0 0
53368.1 1 1 1 1 0 0
53368.2 1 2 1 0 0 0
53368.3 0 2 2 0 0 0
53368.4 2 1 1 2 0 0
53368.5 1 2 0 3 0 0
53368.6 0 0 0 1 0 0
53368.7 1 1 0 1 0 0
53368.8 0 0 1 0 0 0
53368.9 1 1 0 0 0 0
53369.0 0 0 1 0 0 0
53369.1 0 2 1 2 0 0
53369.2 0 4 0 0 0 0
53369.3 2 2 0 0 0 0
53369.4 0 0 0 0 0 0
53369.5 1 1 1 4 0 0
53369.6 3 0 0 0 0 0
53369.7 0 1 0 2 0 0
53369.8 0 3 3 3 0 0
53369.9 2 2 2 1 0 0
53370.0 0 0 0 1 0 0
53370.1 1 2 0 2 0 0
53370.2 1 1 2 3 0 0
53370.3 0 1 4 0 0 0
53370.4 0 1 0 2 0 0
53370.5 2 0 0 1 0 0
53370.6 2 2 1 1 0 0
53370.7 0 0 0 1 0 0
53370.8 1 1 0 1 0 0
53370.9 2 1 2 2 0 0
53371.0 0 0 0 0 0 0
53371.1 3 1 2 1 0 0
53371.2 1 1 0 0 0 0
53371.3 0 1 0 0 0 0
53371.4 1 1 0 1 0 0
53371.5 1 6 2 2 0 0
53371.6 0 0 0 1 0 0
53371.7 0 0 1 0 0 0
53371.8 1 0 0 2 0 0
53371.9 0 2 0 2 0 0
53372.0 0 0 0 0 0 0
53372.1 5 1 2 1 0 0
53372.2 0 1 0 2 0 0
53372.3 3 2 2 1 0 0
53372.4 2 0 2 0 0 0
53372.5 1 1 1 2 0 0
53372.6 1 1 3 0 0 0
53372.7 0 1 0 1 0 0
53372.8 2 2 0 0 0 0
53372.9 0 1 2 1 0 0
53373.0 1 1 1 3 0 0
53373.1 1 1 1 0 0 0
53373.2 1 2 1 1 0 0
53373.3 2 0 0 0 0 0
53373.4 0 1 1 1 0 0
53373.5 0 0 1 1 0 0
53373.6 1 1 1 2 0 0
53373.7 1 0 1 0 0 0
53373.8 0 0 0 2 0 0
53373.9 0 0 1 1 0 0
53374.0 2 2 0 2 0 0
53374.1 0 1 1 4 0 0
53374.2 1 1 2 0 0 0
53374.3 3 3 5 1 0 0
53374.4 4 2 3 1 0 0
53374.5 2 3 0 0 0 0
53374.6 1 0 2 2 0 0
53374.7 0 1 0 0 0 0
53374.8 0 2 0 0 0 0
53374.9 1 2 1 0 0 0
53375.0 1 2 0 0 0 0
53375.1 0 1 2 0 0 0
53375.2 1 2 3 2 0 0
53375.3 2 1 0 0 0 0
53375.4 2 1 0 0 0 0
53375.5 0 1 1 4 0 0
53375.6 0 0 3 1 0 0
53375.7 0 1 0 0 0 0
53375.8 1 1 2 4 0 0
53375.9 1 1 0 0 0 0
53376.0 0 2 4 1 0 0
53376.1 2 2 4 0 0 0
53376.2 1 1 0 0 0 0
53376.3 1 0 1 0 0 0
53376.4 0 0 0 2 0 0
53376.5 1 3 1 0 0 0
53376.6 3 3 0 0 0 0
53376.7 2 4 1 0 0 0
53376.8 1 0 0 1 0 0
53376.9 1 1 0 1 0 0
53377.0 1 1 0 3 0 0
53377.1 1 2 1 1 0 0
53377.2 2 0 0 0 0 0
53377.3 0 1 4 1 0 0
53377.4 0 2 1 1 0 0
53377.5 2 0 1 3 0 0
53377.6 0 1 2 1 0 0
53377.7 1 2 1 2 0 0
53377.8 2 1 1 0 0 0
53377.9 1 1 1 1 0 0
53378.0 3 1 1 0 0 0
53378.1 1 0 1 2 0 0
53378.2 1 1 0 0 0 0
53378.3 2 1 0 1 0 0
53378.4 1 1 1 1 0 0
53378.5 0 0 2 0 0 0
53378.6 3 0 1 2 0 0
53378.7 1 1 1 0 0 0
53378.8 4 0 5 2 0 0
53378.9 0 0 0 0 0 0
53379.0 0 0 1 0 0 0
53379.1 1 2 2 1 0 0
53379.2 2 1 2 0 0 0
53379.3 1 0 3 1 0 0
53379.4 2 2 1 0 0 0
53379.5 1 0 3 0 0 0
53379.6 2 1 1 0 0 0
53379.7 0 0 0 0 0 0
53379.8 1 2 1 1 0 0
53379.9 0 0 2 2 0 0
53380.0 2 0 1 2 0 0
53380.1 0 0 0 2 0 0
53380.2 0 1 1 0 0 0
53380.3 1 1 1 0 0 0
53380.4 0 1 1 0 0 0
53380.5 1 1 1 1 0 0
53380.6 3 1 5 2 0 0
53380.7 5 1 1 4 0 0
53380.8 0 1 0 1 0 0
53380.9 2 1 1 1 0 0
53381.0 0 0 1 0 0 0
53381.1 1 0 1 0 0 0
53381.2 1 0 0 0 0 0
53381.3 1 2 0 2 0 0
53381.4 2 1 1 2 0 0
53381.5 1 4 3 4 0 0
53381.6 0 2 0 2 0 0
53381.7 1 0 2 0 0 0
53381.8 0 1 0 0 0 0
53381.9 1 0 1 0 0 0
53382.0 1 0 1 1 0 0
53382.1 1 1 1 0 0 0
53382.2 0 1 0 1 0 0
53382.3 1 1 1 3 0 0
53382.4 0 1 0 0 0 0
53382.5 0 0 2 1 0 0
53382.6 0 0 0 1 0 0
53382.7 1 2 1 2 0 0
53382.8 0 2 1 0 0 0
53382.9 1 2 2 4 0 0
53383.0 1 0 3 0 0 0
53383.1 2 0 2 0 0 0
53383.2 0 0 1 1 0 0
53383.3 1 0 1 1 0 0
53383.4 3 5 0 1 0 0
53383.5 0 1 0 4 0 0
53383.6 1 0 2 2 0 0
53383.7 2 1 2 0 0 0
53383.8 1 0 0 0 0 0
53383.9 1 1 1 2 0 0
53384.0 0 1 0 2 0 0
53384.1 0 0 0 1 0 0
53384.2 1 1 1 2 0 0
53384.3 0 3 1 3 0 0
53384.4 1 2 2 2 0 0
53384.5 0 3 1 1 0 0
53384.6 1 3 1 1 0 0
53384.7 1 1 2 1 0 0
53384.8 1 0 1 0 0 0
53384.9 0 1 0 1 0 0
53385.0 2 1 1 1 0 0
53385.1 2 0 2 1 0 0
53385.2 2 1 3 0 0 0
53385.3 1 0 0 0 0 0
53385.4 1 2 0 1 0 0
53385.5 0 0 1 0 0 0
53385.6 2 1 1 1 0 0
53385.7 0 1 2 0 0 0
53385.8 0 0 1 2 0 0
53385.9 2 0 1 0 0 0
53386.0 1 1 1 0 0 0
53386.1 1 0 1 0 0 0
53386.2 1 3 1 1 0 0
53386.3 2 1 4 0 0 0
53386.4 0 0 2 2 0 0
53386.5 1 0 3 1 0 0
53386.6 0 0 2 3 0 0
53386.7 2 2 2 2 0 0
53386.8 3 1 1 1 0 0
53386.9 0 1 0 2 0 0
53387.0 0 3 0 1 0 0
53387.1 1 0 0 0 0 0
53387.2 0 1 1 0 0 0
53387.3 0 0 0 1 0 0
53387.4 0 0 1 0 0 0
53387.5 1 1 4 2 0 0
53387.6 1 3 1 2 0 0
53387.7 0 0 1 2 0 0
53387.8 0 1 1 1 0 0
53387.9 2 2 1 3 0 0
53388.0 0 0 0 2 0 0
53388.1 1 0 1 2 0 0
53388.2 4 1 1 1 0 0
53388.3 0 1 0 0 0 0
53388.4 2 2 2 4 0 0
53388.5 1 1 1 1 0 0
53388.6 1 0 2 1 0 0
53388.7 1 1 1 1 0 0
53388.8 2 0 0 0 0 0
53388.9 0 1 0 0 0 0
53389.0 0 2 0 0 0 0
53389.1 1 1 1 0 0 0
53389.2 1 0 1 0 0 0
53389.3 0 0 3 1 0 0
53389.4 1 1 0 1 0 0
53389.5 1 2 1 1 0 0
53389.6 0 1 2 0 0 0
53389.7 0 1 3 0 0 0
53389.8 0 0 1 0 0 0
53389.9 1 1 2 0 0 0
53390.0 0 0 2 1 0 0
53390.1 0 0 0 1 0 0
53390.2 0 2 0 1 0 0
53390.3 0 0 2 1 0 0
53390.4 0 0 1 1 0 0
53390.5 1 1 0 0 0 0
53390.6 2 0 0 0 0 0
53390.7 1 0 2 0 0 0
53390.8 1 1 1 0 0 0
53390.9 0 1 1 1 0 0
53391.0 1 0 1 3 0 0
53391.1 0 0 0 2 0 0
53391.2 0 0 3 1 0 0
53391.3 1 0 0 2 0 0
53391.4 0 1 2 3 0 0
53391.5 1 1 1 0 0 0
53391.6 0 0 0 0 0 0
53391.7 1 1 0 0 0 0
53391.8 1 0 0 1 0 0
53391.9 0 0 1 0 0 0
53392.0 1 0 0 2 0 0
53392.1 0 1 1 1 0 0
53392.2 1 2 3 2 0 0
53392.3 0 2 1 0 0 0
53392.4 1 2 2 1 0 0
53392.5 0 0 1 1 0 0
53392.6 1 0 2 1 0 0
53392.7 1 0 3 1 0 0
53392.8 1 1 0 0 0 0
53392.9 0 1 3 2 0 0
53393.0 0 0 1 0 0 0
53393.1 1 0 1 1 0 0
53393.2 1 0 1 2 0 0
53393.3 0 0 0 1 0 0
53393.4 0 1 0 5 0 0
53393.5 2 1 2 0 0 0
53393.6 0 0 1 1 0 0
53393.7 0 2 1 2 0 0
53393.8 2 3 2 1 0 0
53393.9 1 0 1 1 0 0
53394.0 0 2 0 0 0 0
53394.1 2 4 0 0 0 0
53394.2 1 1 0 0 0 0
53394.3 0 0 2 0 0 0
53394.4 1 0 1 1 0 0
53394.5 0 2 0 2 0 0
53394.6 1 3 2 1 0 0
53394.7 1 2 1 0 0 0
53394.8 0 1 3 2 0 0
53394.9 0 1 0 0 0 0
53395.0 0 0 1 0 0 0
53395.1 0 1 0 0 0 0
53395.2 1 1 0 0 0 0
53395.3 0 0 0 1 0 0
53395.4 0 0 1 0 0 0
53395.5 0 1 1 1 0 0
53395.6 0 0 1 1 0 0
53395.7 0 1 2 2 0 0
53395.8 1 2 1 0 0 0
53395.9 0 0 3 1 0 0
53396.0 1 0 1 0 0 0
53396.1 1 2 1 2 0 0
53396.2 1 0 0 3 0 0
53396.3 0 1 1 1 0 0
53396.4 1 1 0 1 0 0
53396.5 0 0 0 1 0 0
53396.6 1 2 0 0 0 0
53396.7 1 2 0 2 0 0
53396.8 0 0 1 0 0 0
53396.9 0 0 2 1 0 0
53397.0 0 1 2 0 0 0
53397.1 1 1 1 1 0 0
53397.2 1 1 1 1 0 0
53397.3 1 1 1 0 0 0
53397.4 1 1 0 2 0 0
53397.5 2 0 0 1 0 0
53397.6 0 0 0 1 0 0
53397.7 2 0 0 0 0 0
53397.8 1 0 0 1 0 0
53397.9 2 1 1 2 0 0
53398.0 1 0 1 2 0 0
53398.1 2 0 1 1 0 0
53398.2 0 0 1 0 0 0
53398.3 1 2 2 1 0 0
53398.4 2 0 6 1 0 0
53398.5 1 0 1 1 0 0
53398.6 0 2 1 1 0 0
53398.7 0 2 2 3 0 0
53398.8 1 1 1 1 0 0
53398.9 0 1 0 0 0 0
53399.0 0 1 1 1 0 0
53399.1 3 1 0 2 0 0
53399.2 1 0 0 0 0 0
53399.3 2 2 0 0 0 0
53399.4 1 1 3 2 0 0
53399.5 1 1 0 0 0 0
53399.6 1 1 1 2 0 0
53399.7 0 0 1 0 0 0
53399.8 0 0 1 0 0 0
53399.9 1 0 0 0 0 0
53400.0 1 0 2 0 0 0
53400.1 2 1 0 0 0 0
53400.2 1 0 1 1 0 0
53400.3 1 1 1 0 0 0
53400.4 1 1 0 1 0 0
53400.5 0 1 0 1 0 0
53400.6 0 0 1 1 0 0
53400.7 0 0 3 0 0 0
53400.8 1 2 3 1 0 0
53400.9 0 1 2 0 0 0
53401.0 2 1 1 2 0 0
53401.1 0 2 0 1 0 0
53401.2 0 1 1 1 0 0
53401.3 1 1 1 0 0 0
53401.4 0 0 3 1 0 0
53401.5 1 2 1 2 0 0
53401.6 1 1 1 0 0 0
53401.7 1 1 0 0 0 0
53401.8 0 0 0 0 0 0
53401.9 2 2 2 1 0 0
53402.0 1 1 3 3 0 0
53402.1 1 1 0 0 0 0
53402.2 1 3 1 2 0 0
53402.3 1 3 0 0 0 0
53402.4 0 0 1 0 0 0
53402.5 2 1 1 1 0 0
53402.6 1 0 1 0 0 0
53402.7 0 0 2 0 0 0
53402.8 0 4 3 0 0 0
53402.9 0 1 0 1 0 0
53403.0 1 0 1 0 0 0
53403.1 0 1 2 2 0 0
53403.2 0 1 4 2 0 0
53403.3 2 0 1 2 0 0
53403.4 1 1 1 1 0 0
53403.5 1 1 1 0 0 0
53403.6 0 0 0 0 0 0
53403.7 0 1 1 0 0 0
53403.8 0 0 0 0 0 0
53403.9 2 0 1 0 0 0
53404.0 1 0 0 1 0 0
53404.1 2 0 0 0 0 0
53404.2 3 0 1 2 0 0
53404.3 2 0 1 1 0 0
53404.4 1 0 0 0 0 0
53404.5 1 1 1 2 0 0
53404.6 0 1 3 2 0 0
53404.7 2 2 0 3 0 0
53404.8 3 1 1 0 0 0
53404.9 1 3 0 1 0 0
53405.0 2 1 0 0 0 0
53405.1 1 0 1 2 0 0
53405.2 1 0 0 2 0 0
53405.3 1 0 1 1 0 0
53405.4 2 3 2 0 0 0
53405.5 0 1 0 0 0 0
53405.6 1 0 2 1 0 0
53405.7 0 1 0 0 0 0
53405.8 0 2 1 2 0 0
53405.9 1 0 1 2 0 0
53406.0 2 0 1 1 0 0
53406.1 3 1 1 0 0 0
53406.2 0 0 1 1 0 0
53406.3 0 1 0 1 0 0
53406.4 2 1 1 1 0 0
53406.5 2 1 1 0 0 0
53406.6 1 0 1 0 0 0
53406.7 3 0 1 2 0 0
53406.8 0 1 0 1 0 0
53406.9 0 1 1 2 0 0
53407.0 0 0 0 1 0 0
53407.1 1 2 0 0 0 0
53407.2 0 1 3 0 0 0
53407.3 1 1 0 1 0 0
53407.4 0 0 1 1 0 0
53407.5 0 1 3 1 0 0
53407.6 1 0 1 0 0 0
53407.7 1 2 0 2 0 0
53407.8 2 0 1 0 0 0
53407.9 0 0 1 0 0 0
53408.0 0 1 1 1 0 0
53408.1 3 1 0 1 0 0
53408.2 1 0 0 1 0 0
53408.3 0 0 0 0 0 0
53408.4 0 0 1 0 0 0
53408.5 1 0 0 3 0 0
53408.6 0 1 2 1 0 0
53408.7 0 0 0 0 0 0
53408.8 1 1 0 0 0 0
53408.9 0 0 2 0 0 0
53409.0 0 0 2 1 0 0
53409.1 0 1 2 0 0 0
53409.2 1 0 1 1 0 0
53409.3 1 0 1 0 0 0
53409.4 1 1 1 1 0 0
53409.5 1 1 4 0 0 0
53409.6 0 0 1 3 0 0
53409.7 2 0 3 1 0 0
53409.8 0 1 3 0 0 0
53409.9 1 3 0 1 0 0
53410.0 2 1 0 1 0 0
53410.1 0 0 1 2 0 0
53410.2 2 0 0 2 0 0
53410.3 0 0 1 2 0 0
53410.4 1 1 0 1 0 0
53410.5 2 0 0 0 0 0
53410.6 1 1 0 0 0 0
53410.7 1 0 0 0 0 0
53410.8 1 0 1 1 0 0
53410.9 1 2 1 4 0 0
53411.0 2 0 0 1 0 0
53411.1 1 0 1 0 0 0
53411.2 0 2 1 3 0 0
53411.3 2 1 0 3 0 0
53411.4 0 1 0 0 0 0
53411.5 1 1 1 1 0 0
53411.6 2 0 1 0 0 0
53411.7 1 2 1 1 0 0
53411.8 0 0 0 3 0 0
53411.9 0 1 1 0 0 0
53412.0 0 1 1 0 0 0
53412.1 0 1 3 0 0 0
53412.2 1 0 1 1 0 0
53412.3 1 1 1 1 0 0
53412.4 0 1 2 1 0 0
53412.5 2 1 3 3 0 0
53412.6 1 0 1 0 0 0
53412.7 0 2 1 1 0 0
53412.8 0 2 1 0 0 0
53412.9 0 1 0 3 0 0
53413.0 0 1 0 0 0 0
53413.1 1 0 1 0 0 0
53413.2 3 1 1 1 0 0
53413.3 0 0 0 2 0 0
53413.4 1 1 1 0 0 0
53413.5 0 0 1 1 0 0
53413.6 3 1 2 1 0 0
53413.7 0 0 1 1 0 0
53413.8 0 1 1 1 0 0
53413.9 0 0 0 2 0 0
53414.0 2 0 1 3 0 0
53414.1 0 0 1 0 0 0
53414.2 1 1 0 0 0 0
53414.3 0 2 0 0 0 0
53414.4 0 2 1 1 0 0
53414.5 1 1 0 1 0 0
53414.6 2 1 2 0 0 0
53414.7 1 2 1 0 0 0
53414.8 0 0 1 2 0 0
53414.9 1 2 3 2 0 0
53415.0 2 0 1 4 0 0
53415.1 0 1 1 0 0 0
53415.2 0 0 1 3 0 0
53415.3 1 3 0 0 0 0
53415.4 0 2 0 2 0 0
53415.5 0 0 0 0 0 0
53415.6 0 2 0 2 0 0
53415.7 1 0 0 1 0 0
53415.8 1 0 0 0 0 0
53415.9 2 1 1 2 0 0
53416.0 0 0 0 0 0 0
53416.1 0 1 0 2 0 0
53416.2 0 0 2 0 0 0
53416.3 2 1 1 0 0 0
53416.4 0 1 2 1 0 0
53416.5 0 1 0 1 0 0
53416.6 1 2 0 0 0 0
53416.7 2 1 0 1 0 0
53416.8 2 1 0 2 0 0
53416.9 1 1 0 0 0 0
53417.0 0 0 1 1 0 0
53417.1 0 1 1 0 0 0
53417.2 0 2 0 0 0 0
53417.3 0 0 1 0 0 0
53417.4 0 2 2 1 0 0
53417.5 3 1 0 3 0 0
53417.6 0 0 0 0 0 0
53417.7 0 0 0 0 0 0
53417.8 0 2 1 0 0 0
53417.9 4 0 1 0 0 0
53418.0 1 2 2 0 0 0
53418.1 1 1 3 1 0 0
53418.2 1 2 0 0 0 0
53418.3 0 0 1 0 0 0
53418.4 1 0 0 0 0 0
53418.5 2 2 1 1 0 0
53418.6 0 1 1 0 0 0
53418.7 0 2 1 0 0 0
53418.8 1 1 3 3 0 0
53418.9 1 0 1 2 0 0
53419.0 0 0 3 1 0 0
53419.1 1 1 1 0 0 0
53419.2 0 0 1 1 0 0
53419.3 1 0 2 3 0 0
53419.4 1 0 3 0 0 0
53419.5 2 2 0 0 0 0
53419.6 0 0 1 0 0 0
53419.7 0 0 0 0 0 0
53419.8 0 0 2 1 0 0
53419.9 0 0 0 1 0 0
53420.0 0 1 1 1 0 0
